iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
41,0.011074830777943134,0.004225198179483414,0.009826073423027992,0.003960066940635443,0.05140280723571777,0.06069892644882202,0.2096574902534485,0.04029577970504761,0.02964509278535843,0.09436769783496857,0.07257286459207535,0.5198092460632324,0.5142923593521118,0.4528718590736389,0.00020243733888491988,8.812639862298965e-07,0.0,0.0,0.0,0.0,0.0
42,0.01046976912766695,0.007779614068567753,0.020956270396709442,0.003274850081652403,0.031013501808047295,0.12272126972675323,0.36631348729133606,0.04673223942518234,0.04607490077614784,0.17552456259727478,0.05180065333843231,0.23123449087142944,1.0215046405792236,0.819368839263916,0.0002635300625115633,8.385322871617973e-06,0.0,0.0,0.0,0.0,0.0
43,0.008891727775335312,0.00660992506891489,0.017572756856679916,0.0037717781960964203,0.05042650178074837,0.10172535479068756,0.3098984360694885,0.04884272441267967,0.04468011111021042,0.1525372415781021,0.06739872694015503,0.3341539204120636,0.8580794930458069,0.6355441808700562,0.0002517320099286735,5.226727807894349e-06,0.0,0.0,0.0,0.0,0.0
44,0.012867847457528114,0.00431856932118535,0.011659522540867329,0.004841194022446871,0.0867759957909584,0.06808245182037354,0.19562529027462006,0.03211619332432747,0.027520237490534782,0.09783366322517395,0.12148885428905487,0.41706833243370056,0.5906552076339722,0.3714739680290222,0.00023646379122510552,4.807079676538706e-07,0.0,0.0,0.0,0.0,0.0
45,0.014910023659467697,0.006767044775187969,0.017704956233501434,0.007399819325655699,0.09946786612272263,0.11174026131629944,0.3510066568851471,0.0442182831466198,0.045353785157203674,0.13084496557712555,0.1562904268503189,0.5489833950996399,0.9000926613807678,0.7596679925918579,0.0015369773609563708,1.1553172953426838e-05,0.0,0.0,0.0,0.0,0.0
46,0.012256682850420475,0.004269802942872047,0.010671696625649929,0.003340242663398385,0.03542318195104599,0.06378711760044098,0.1787497103214264,0.034234825521707535,0.035688772797584534,0.08339948207139969,0.048707567155361176,0.26031309366226196,0.5092991590499878,0.3209684491157532,0.00013706088066101074,1.089771103579551e-06,0.0,0.0,0.0,0.0,0.0
47,0.011935432441532612,0.0035784514620900154,0.007884779945015907,0.007780473213642836,0.06661956757307053,0.05512259900569916,0.18070560693740845,0.046164944767951965,0.025104258209466934,0.06983987987041473,0.11663077026605606,0.4964295029640198,0.4261835515499115,0.34603047370910645,0.00027206409140489995,1.8660502973943949e-06,0.0,0.0,0.0,0.0,0.002223620656877756
48,0.007883287966251373,0.0019397513242438436,0.0024269036948680878,0.0059411306865513325,0.07270026952028275,0.01163472793996334,0.05101795867085457,0.02011033520102501,0.01726444624364376,0.023060152307152748,0.10161355882883072,0.5067180395126343,0.07929474115371704,0.1207166463136673,0.0003263973630964756,2.533488441258669e-07,0.0,0.0,0.0,0.0,0.008121473714709282
49,0.008247370831668377,0.0042150383815169334,0.010503246448934078,0.00820185523480177,0.0642525851726532,0.07083979994058609,0.22925519943237305,0.02391478791832924,0.026593655347824097,0.07123765349388123,0.10369274020195007,0.503078281879425,0.511176586151123,0.37220484018325806,0.0002218482259195298,6.158952601253986e-07,0.0,0.0,0.0,0.0,0.04877794161438942
50,0.007829815149307251,0.0019511952996253967,0.0026344354264438152,0.004809183534234762,0.034887369722127914,0.012908446602523327,0.05978977307677269,0.036314234137535095,0.014289790764451027,0.01862071268260479,0.05379284918308258,0.34914544224739075,0.11447305232286453,0.14883293211460114,0.0009471820667386055,2.0354636944830418e-06,0.0,0.0,0.0,0.0,0.009831763803958893
51,0.009067356586456299,0.00403327401727438,0.009372366592288017,0.005412320140749216,0.0633447915315628,0.06324652582406998,0.21455003321170807,0.027735333889722824,0.034512218087911606,0.08205987513065338,0.06909006834030151,0.47144559025764465,0.4905843734741211,0.3766413629055023,4.381313920021057e-05,9.438153938390315e-07,0.0,0.0,0.0,0.0,5.500286351889372e-05
52,0.010034541599452496,0.004615071229636669,0.011391009204089642,0.007222435902804136,0.05524265021085739,0.0704382061958313,0.2593540549278259,0.03884933888912201,0.041301704943180084,0.09038262069225311,0.09312497824430466,0.6736528873443604,0.5245438814163208,0.48783454298973083,7.072958396747708e-05,1.9302533473819494e-06,0.0,0.0,0.0,0.0,0.0
53,0.011623903177678585,0.0022350361105054617,0.0025836226996034384,0.007156210485845804,0.059243179857730865,0.005364715121686459,0.0345751978456974,0.03716108947992325,0.016420425847172737,0.020922018215060234,0.11558541655540466,0.58090740442276,0.05802954360842705,0.09259659051895142,6.667233537882566e-05,9.261420927941799e-07,0.0,0.0,0.0,0.0,0.0
54,0.0063147773034870625,0.0016353358514606953,0.0014128905022516847,0.003160981461405754,0.03265076503157616,0.00484852958470583,0.012941303662955761,0.025991277769207954,0.015110531821846962,0.019162798300385475,0.07529907673597336,0.2776285409927368,0.045702748000621796,0.03539187088608742,2.713617868721485e-05,6.010886863805354e-07,0.0,0.0,0.0,0.0,0.0
